"","SCHOOL_CODE.x","SCHOOL_NAME","type","schoollevel","YEAR","SCHOOL_CODE.y","COUNTY_DISTRICT_CODE","ENROLLMENT_GRADES_K_12","LUNCH_COUNT_FREE_REDUCTED_PCT","ENROLLMENT_ASIAN_PCT","ENROLLMENT_BLACK_PCT","ENROLLMENT_HISPANIC_PCT","ENROLLMENT_INDIAN_PCT","ENROLLMENT_MULTIRACIAL_PCT","ENROLLMENT_PACIFIC_ISLANDER_PCT","ENROLLMENT_WHITE_PCT","ENROLLMENT_ELL_LEP_PCT","IEP_INCIDENCE_RATE","Eng. Language Arts_BELOW_BASIC_PCT","Eng. Language Arts_BASIC_PCT","Eng. Language Arts_ADVANCED_PCT","Mathematics_BELOW_BASIC_PCT","Mathematics_BASIC_PCT","Mathematics_ADVANCED_PCT","Science_BELOW_BASIC_PCT","Science_BASIC_PCT","Science_ADVANCED_PCT","Social Studies_BELOW_BASIC_PCT","Social Studies_BASIC_PCT","Social Studies_ADVANCED_PCT","Year"
"1",6997,"GATEWAY SCIENCE ACAD-SOUTH ELE","Charter","ELEMENTARY",2017,6997,"115916",400,"68","2","24.25","5.75",NA,"10",NA,"57.75","15.75","10.75","17","23.7","17","17.7","37.5","17.7","14","44.2","11.6","","","",2017
"2",6980,"GATEWAY SCIENCE ACAD/ST LOUIS","Charter",NA,2017,6980,"115916",439,"39.299999999999997",NA,"4.5599999999999996","2.0499999999999998",NA,"9.5700000000000003",NA,"82.689999999999998","4.0999999999999996","6.3799999999999999","9.9","18.8","23.5","9.4","32.9","22.1","6.2","38.5","12.3","","","",2017
"3",1940,"GATEWAY SCIENCE ACADEMY HIGH","Charter","HIGH",2017,1940,"115916",257,"43","6.2300000000000004","10.119999999999999","4.6699999999999999",NA,"10.890000000000001",NA,"67.319999999999993","2.3300000000000001","7.3899999999999997","","","","26.7","6.7","26.7","7.8","50","14.1","7.9","36.799999999999997","10.5",2017
"4",3935,"GATEWAY SCIENCE ACADEMY MIDDLE","Charter","MIDDLE",2017,3935,"115916",254,"45.899999999999999","2.3599999999999999","10.630000000000001","4.7199999999999998",NA,"14.57",NA,"67.719999999999999",NA,"6.2999999999999998","13.6","19","29.9","23.6","38.799999999999997","14","13","34.799999999999997","8.6999999999999993","","","",2017
"5",6931,"ASPIRE ACADEMY","Charter",NA,2017,6931,"115906",558,NA,NA,"98.920000000000002",NA,NA,NA,NA,NA,NA,"7.1699999999999999","31.9","34.799999999999997","3.9","34.200000000000003","47.7","2.9","25.8","61.3",NA,"","","",2017
"6",6975,"CARONDELET LEADERSHIP ACADEMY","Charter","ELEMENTARY",2017,6975,"115915",394,NA,NA,"52.280000000000001","3.2999999999999998",NA,"14.970000000000001",NA,"28.93","4.5700000000000003","12.18","32.6","32.6","6.7","41.1","46.6","1.4","35.9","50",NA,"","","",2017
"7",6955,"CITY GARDEN MONTESSORI SCHOOL","Charter",NA,2017,6955,"115911",231,"42.200000000000003",NA,"41.990000000000002","4.7599999999999998",NA,"3.0299999999999998",NA,"49.350000000000001",NA,"13.85","7.1","18.3","35.700000000000003","12.8","44","24.8","17.7","32.4","17.7","","","",2017
"8",1920,"CONFLUENCE PREPARATORY ACADEMY","Charter",NA,2017,1920,"115906",764,NA,NA,"98.430000000000007","1.05",NA,NA,NA,NA,"0.92000000000000004","13.35","57.7","26.1","2.7","62.2","31.5",NA,"58.6","37.299999999999997","0.5","33.6","52.3","0.9",2017
"9",6995,"EAGLE COLLEGE PREP-TOWER GROVE","Charter",NA,2017,6995,"115923",206,NA,"9.7100000000000009","57.770000000000003","7.7699999999999996",NA,"12.140000000000001",NA,"12.619999999999999","20.390000000000001","13.59","25.9","33.299999999999997","6.2","37","32.1","3.7","45.8","45.8",NA,"","","",2017
"10",3920,"GRAND CENTER ARTS ACAD MIDDLE","Charter","MIDDLE",2017,3920,"115918",319,"59.600000000000001",NA,"62.700000000000003","4.0800000000000001",NA,"5.6399999999999997",NA,"27.27",NA,"6.5800000000000001","32.4","21.9","15","38.4","40.700000000000003","7.2","25","40.5","7.8","","","",2017
"11",1945,"GRAND CENTER ARTS ACADEMY HIGH","Charter","HIGH",2017,1945,"115918",416,"61.299999999999997",NA,"60.82","2.8799999999999999",NA,"4.5700000000000003",NA,"31.010000000000002","1.2","7.6900000000000004","","","","20","20","50","17","34","13.8","11.1","38.4","10.1",2017
"12",3910,"HAWTHORN LEADERSHIP SCHL GIRLS","Charter",NA,2017,3910,"115925",172,NA,NA,"93.019999999999996",NA,NA,"2.9100000000000001",NA,"4.0700000000000003",NA,"7.5599999999999996","40.9","28.2","3.6","39.1","47.3","0.9","","","","","","",2017
"13",6970,"KIPP INSPIRE ACADEMY","Charter",NA,2017,6970,"115914",314,NA,NA,"99.359999999999999",NA,NA,NA,NA,NA,NA,"12.42","30.5","28.9","7.6","29.9","35.200000000000003","11.3","25.2","41.3","4.9000000000000004","","","",2017
"14",6973,"KIPP TRIUMPH ACADEMY","Charter",NA,2017,6973,"115914",187,NA,NA,"100",NA,NA,NA,NA,NA,NA,"13.369999999999999","36.4","33.799999999999997","3.9","22.1","48.1","6.5","27.3","49.4","7.8","","","",2017
"15",3910,"LA SALLE CHARTER SCHOOL","Charter",NA,2017,3910,"115928",104,NA,NA,"98.079999999999998",NA,NA,NA,NA,NA,NA,"13.460000000000001","41.8","34.1","4.4000000000000004","42.2","50",NA,"52.8","33.299999999999997",NA,"","","",2017
"16",6993,"LAFAYETTE PREPARATORY ACADEMY","Charter",NA,2017,6993,"115924",233,"40.799999999999997",NA,"51.07","5.1500000000000004",NA,"8.5800000000000001",NA,"34.329999999999998","3.8599999999999999","15.880000000000001","26.7","24.4","4.4000000000000004","35.6","44.4","4.4000000000000004","","","","","","",2017
"17",3910,"LIFT FOR LIFE ACADEMY","Charter",NA,2017,3910,"115902",256,NA,NA,"90.230000000000004",NA,NA,"3.9100000000000001",NA,"3.9100000000000001",NA,"12.890000000000001","50.2","28.8","2.6","48.7","38.200000000000003","3.1","53.4","38.4",NA,"","","",2017
"18",1935,"LIFT FOR LIFE ACADEMY HIGH SCH","Charter","HIGH",2017,1935,"115902",322,NA,NA,"89.129999999999995",NA,NA,"3.1099999999999999",NA,"5.5899999999999999",NA,"12.73","","","","","","","9.4","50.9","5.7","11.3","43.6","4.8",2017
"19",6965,"NORTH SIDE COMMUNITY SCHOOL","Charter",NA,2017,6965,"115913",354,"25.5",NA,"99.150000000000006",NA,NA,NA,NA,NA,NA,"7.3399999999999999","11.5","15.6","8.1999999999999993","9.8000000000000007","31.2","18.899999999999999",NA,"74.2",NA,"","","",2017
"20",6930,"OLD NORTH","Charter",NA,2017,6930,"115906",615,NA,NA,"98.859999999999999",NA,NA,"0.81000000000000005",NA,NA,NA,"8.4600000000000009","36.6","37.9","1.5","45.4","43.9","1.7","47.2","48.6","0.7","","","",2017
"21",3930,"PRECLARUS MASTERY ACADEMY","Charter",NA,2017,3930,"115919",225,NA,NA,"100",NA,NA,NA,NA,NA,NA,"10.67","37.799999999999997","28.9","3","49.2","43.6",NA,"43.5","44.9",NA,"","","",2017
"22",6915,"PREMIER CHARTER SCHOOL","Charter",NA,2017,6915,"115903",904,"68.099999999999994","6.75","26.109999999999999","16.699999999999999",NA,"5.9699999999999998",NA,"44.140000000000001","23.120000000000001","15.6","31.7","28.9","8","34.1","36.700000000000003","8.4","20.2","44.4","8.1","","","",2017
"23",6932,"SOUTH CITY","Charter",NA,2017,6932,"115906",814,NA,"1.1100000000000001","50.740000000000002","43.609999999999999",NA,"2.21",NA,"2.21","31.82","7.3700000000000001","29.2","31.7","7.4","33.1","42.8","4.3","38.299999999999997","53.9","0.7","","","",2017
"24",3925,"St. Louis College Prep Middle","Charter",NA,2017,3925,"115920",147,NA,NA,"93.879999999999995",NA,NA,NA,NA,"3.3999999999999999",NA,"20.41","46.5","23.6","4.5","46.9","35.700000000000003","2.8","35.700000000000003","44.3","2.9","","","",2017
"25",6962,"THE CHINESE SCHOOL","Charter",NA,2017,6962,"115912",178,"47.899999999999999","3.9300000000000002","44.380000000000003",NA,NA,"8.4299999999999997",NA,"42.700000000000003","5.6200000000000001","4.4900000000000002","23.4","36.200000000000003","8.5","6.1","40.799999999999997","30.6","","","","","","",2017
"26",6960,"THE FRENCH SCHOOL","Charter",NA,2017,6960,"115912",174,"66.299999999999997",NA,"55.75","3.4500000000000002",NA,"4.0199999999999996",NA,"36.210000000000001","3.4500000000000002","14.94","26.9","21.3","18.5","37.299999999999997","31.8","5.5","36.1","50",NA,"","","",2017
"27",6963,"THE INTERNATIONAL SCHOOL","Charter",NA,2017,6963,"115912",57,"87.700000000000003",NA,"73.680000000000007","15.789999999999999",NA,NA,NA,"8.7699999999999996","12.279999999999999","17.539999999999999","42.2","24.4","6.7","48.9","40","2.2000000000000002","","","","","","",2017
"28",6961,"THE SPANISH SCHOOL","Charter",NA,2017,6961,"115912",363,"65.5",NA,"51.240000000000002","17.359999999999999",NA,"6.0599999999999996",NA,"24.239999999999998","14.6","7.9900000000000002","24.3","36.5","11.6","28.7","36.5","9.9","37.5","47.9",NA,"","","",2017
"29",4250,"AMES VISUAL/PERF. ARTS","Magnet",NA,2017,4250,"115115",338,NA,NA,"98.219999999999999",NA,NA,NA,NA,NA,NA,"12.43","42.2","26.5","4.9000000000000004","32.4","48.7","5.4","35","53.3",NA,"","","",2017
"30",3050,"BUSCH MS CHARACTER & ATHLETICS","Magnet",NA,2017,3050,"115115",357,NA,"3.0800000000000001","52.939999999999998","11.48",NA,NA,NA,"31.93","10.92","19.329999999999998","33.4","22.5","7.9","40.6","41.3","2.6","34.9","39.6","1.9","","","",2017
"31",1500,"CARNAHAN SCH. OF THE FUTURE","Magnet",NA,2017,1500,"115115",357,NA,NA,"93","1.6799999999999999",NA,NA,NA,"4.2000000000000002",NA,"15.130000000000001","","","","","","","","","","5.6","41.7","5.6",2017
"32",3070,"CARR LANE VPA MIDDLE","Magnet","MIDDLE",2017,3070,"115115",545,NA,NA,"95.049999999999997","0.92000000000000004",NA,NA,NA,"3.8500000000000001",NA,"16.510000000000002","52.5","23.9","1.9","53.9","35.700000000000003","1.8","44.6","48.4","0.5","","","",2017
"33",1860,"CENTRAL VISUAL/PERF. ARTS HIGH","Magnet","HIGH",2017,1860,"115115",411,NA,NA,"80.290000000000006","5.3499999999999996",NA,NA,NA,"12.9",NA,"7.79","","","","","","","7.4","33.700000000000003","15.8","6.4","35.1","6.4",2017
"34",1440,"CLEVELAND NJROTC ACADEMY","Magnet",NA,2017,1440,"115115",306,NA,"2.29","71.569999999999993","9.4800000000000004",NA,NA,NA,"16.010000000000002","1.96","9.1500000000000004","","","","","","","4.2","38.9","2.8","5.9","45.6","8.8000000000000007",2017
"35",1510,"COLLEGIATE SCHOOL OF MED/BIO","Magnet",NA,2017,1510,"115115",224,NA,"13.390000000000001","50.450000000000003","5.3600000000000003",NA,NA,NA,"29.02",NA,NA,"","","",NA,NA,"57.9","2.2999999999999998","23.3","30.2","3.9","19.600000000000001","19.600000000000001",2017
"36",4420,"COLUMBIA ELEM. COMM. ED. CTR.","Magnet","ELEMENTARY",2017,4420,"115115",157,NA,NA,"98.730000000000004",NA,NA,NA,NA,NA,NA,"10.19","65.5","23.6",NA,"56.4","38.200000000000003",NA,"70","30",NA,"","","",2017
"37",3390,"COMPTON-DREW ILC MIDDLE","Magnet","MIDDLE",2017,3390,"115115",476,NA,"2.3100000000000001","82.560000000000002","6.9299999999999997",NA,NA,NA,"7.9800000000000004","5.8799999999999999","14.92","42","24.3","3.8","37.700000000000003","49.7","2.4","33.6","41.5","1.3","","","",2017
"38",4470,"DEWEY SCH.-INTERNAT'L. STUDIES","Magnet",NA,2017,4470,"115115",369,NA,"3.79","80.489999999999995","8.1300000000000008",NA,NA,NA,"7.3200000000000003","13.550000000000001","10.84","22.3","27.7","9","18.600000000000001","41","10.6","19","46.6","8.6","","","",2017
"39",4730,"GATEWAY ELEM.","Magnet","ELEMENTARY",2017,4730,"115115",482,NA,NA,"96.060000000000002","2.2799999999999998",NA,NA,NA,"1.24","2.0699999999999998","10.58","19.5","30.3","12.4","14.2","43.5","9.4","7.5","50.5","16.100000000000001","","","",2017
"40",1220,"GATEWAY HIGH","Magnet","HIGH",2017,1220,"115115",1104,NA,"8.2400000000000002","61.590000000000003","11.5",NA,NA,NA,"18.390000000000001","18.57","14.58","","","","","","","19.7","51.4","2.8","20.6","46.2","4.2",2017
"41",3230,"GATEWAY MIDDLE","Magnet","MIDDLE",2017,3230,"115115",513,NA,"4.4800000000000004","89.469999999999999","3.5099999999999998",NA,NA,NA,"2.3399999999999999","11.31","17.149999999999999","43.1","29.5","4.0999999999999996","51.9","37.4","1.2","63.3","30","0.6","","","",2017
"42",4960,"HUMBOLDT ACAD OF HIGHER LRNING","Magnet","HIGH",2017,4960,"115115",215,NA,NA,"92.090000000000003",NA,NA,NA,NA,"6.0499999999999998",NA,"22.329999999999998","35.6","30","2.8","34","49.8","2.8","27.9","54.4","5.9","","","",2017
"43",5030,"KENNARD/CLASSICAL JR. ACAD.","Magnet",NA,2017,5030,"115115",305,NA,"7.8700000000000001","23.280000000000001","2.6200000000000001",NA,NA,NA,"66.230000000000004",NA,"4.2599999999999998","1.1000000000000001","2.1","65.599999999999994",NA,NA,"63",NA,NA,"61.9","","","",2017
"44",5180,"LYON AT BLOW ELEM.","Magnet","ELEMENTARY",2017,5180,"115115",330,NA,NA,"85.760000000000005","2.73",NA,NA,NA,"11.210000000000001",NA,"17.27","64.900000000000006","19.8","1.7","54.1","38","1.7","52.7","36.5","1.4","","","",2017
"45",5240,"MALLINCKRODT A.B.I. ELEM.","Magnet","ELEMENTARY",2017,5240,"115115",255,NA,"3.5299999999999998","27.84",NA,NA,NA,NA,"67.450000000000003",NA,"7.0599999999999996","1.6","4.7","65.400000000000006","3.2","8.6999999999999993","57.5","8.6","28.6","22.9","","","",2017
"46",1570,"MCKINLEY CLASS. LEADERSHIP AC.","Magnet",NA,2017,1570,"115115",572,NA,"5.7699999999999996","49.829999999999998","1.9199999999999999",NA,NA,NA,"41.960000000000001",NA,"5.2400000000000002","3.4","7.7","51.2","7.7","21.8","37.5","3.3","22.7","20.100000000000001","1.9","16.7","37",2017
